img_path,gt
synthetic/synth_O2QVA_0.jpg,O2QVA
synthetic/synth_LU7U5_1.jpg,LU7U5
synthetic/synth_MNTJM_2.jpg,MNTJM
synthetic/synth_2ZONG_3.jpg,2ZONG
synthetic/synth_OZOWE_4.jpg,OZOWE
synthetic/synth_7726M_5.jpg,7726M
synthetic/synth_K35SP_6.jpg,K35SP
synthetic/synth_2Q2LG_7.jpg,2Q2LG
synthetic/synth_9BSQZ_8.jpg,9BSQZ
synthetic/synth_LAMSA_9.jpg,LAMSA
synthetic/synth_0G7HD_10.jpg,0G7HD
synthetic/synth_Z2QUS_11.jpg,Z2QUS
synthetic/synth_A1DVE_12.jpg,A1DVE
synthetic/synth_J552U_13.jpg,J552U
synthetic/synth_KOZAY_14.jpg,KOZAY
synthetic/synth_FWS4B_15.jpg,FWS4B
synthetic/synth_WCH50_16.jpg,WCH50
synthetic/synth_G1N5D_17.jpg,G1N5D
synthetic/synth_0ZQJB_18.jpg,0ZQJB
synthetic/synth_X5BMJ_19.jpg,X5BMJ
synthetic/synth_QZQ0K_20.jpg,QZQ0K
synthetic/synth_RT3ET_21.jpg,RT3ET
synthetic/synth_OO2I9_22.jpg,OO2I9
synthetic/synth_L97EA_23.jpg,L97EA
synthetic/synth_O2OWC_24.jpg,O2OWC
synthetic/synth_O22DH_25.jpg,O22DH
synthetic/synth_ZOQS6_26.jpg,ZOQS6
synthetic/synth_192G9_27.jpg,192G9
synthetic/synth_A7D6X_28.jpg,A7D6X
synthetic/synth_0O3WC_29.jpg,0O3WC
synthetic/synth_2VGRC_30.jpg,2VGRC
synthetic/synth_9RW7J_31.jpg,9RW7J
synthetic/synth_GORGE_32.jpg,GORGE
synthetic/synth_HB5DM_33.jpg,HB5DM
synthetic/synth_OW1U5_34.jpg,OW1U5
synthetic/synth_Y8OGX_35.jpg,Y8OGX
synthetic/synth_7728V_36.jpg,7728V
synthetic/synth_D52MM_37.jpg,D52MM
synthetic/synth_QQO25_38.jpg,QQO25
synthetic/synth_WDAZ8_39.jpg,WDAZ8
synthetic/synth_QHE9E_40.jpg,QHE9E
synthetic/synth_ZGMVZ_41.jpg,ZGMVZ
synthetic/synth_FO2OQ_42.jpg,FO2OQ
synthetic/synth_69PHX_43.jpg,69PHX
synthetic/synth_D19GR_44.jpg,D19GR
synthetic/synth_V1SKH_45.jpg,V1SKH
synthetic/synth_2G508_46.jpg,2G508
synthetic/synth_77QBE_47.jpg,77QBE
synthetic/synth_EXEAB_48.jpg,EXEAB
synthetic/synth_QO5QR_49.jpg,QO5QR
synthetic/synth_4OZR5_50.jpg,4OZR5
synthetic/synth_QEEQZ_51.jpg,QEEQZ
synthetic/synth_1V7QW_52.jpg,1V7QW
synthetic/synth_CHYGE_53.jpg,CHYGE
synthetic/synth_ACF5D_54.jpg,ACF5D
synthetic/synth_DKGRH_55.jpg,DKGRH
synthetic/synth_JMEJS_56.jpg,JMEJS
synthetic/synth_0O7XZ_57.jpg,0O7XZ
synthetic/synth_ZZZ2Z_58.jpg,ZZZ2Z
synthetic/synth_VN5MT_59.jpg,VN5MT
synthetic/synth_2O7ZS_60.jpg,2O7ZS
synthetic/synth_O2ZIL_61.jpg,O2ZIL
synthetic/synth_2QQX6_62.jpg,2QQX6
synthetic/synth_7Z2XV_63.jpg,7Z2XV
synthetic/synth_5H58R_64.jpg,5H58R
synthetic/synth_OZOEV_65.jpg,OZOEV
synthetic/synth_JRTAD_66.jpg,JRTAD
synthetic/synth_2TWBQ_67.jpg,2TWBQ
synthetic/synth_WGYTR_68.jpg,WGYTR
synthetic/synth_QTRMB_69.jpg,QTRMB
synthetic/synth_OQBK2_70.jpg,OQBK2
synthetic/synth_IGLVU_71.jpg,IGLVU
synthetic/synth_PCJED_72.jpg,PCJED
synthetic/synth_DV2YE_73.jpg,DV2YE
synthetic/synth_ZQQ52_74.jpg,ZQQ52
synthetic/synth_2HQEW_75.jpg,2HQEW
synthetic/synth_Q299Z_76.jpg,Q299Z
synthetic/synth_JK92A_77.jpg,JK92A
synthetic/synth_Q0ZMN_78.jpg,Q0ZMN
synthetic/synth_QO2YH_79.jpg,QO2YH
synthetic/synth_OOQHD_80.jpg,OOQHD
synthetic/synth_77Q9Q_81.jpg,77Q9Q
synthetic/synth_QOWEN_82.jpg,QOWEN
synthetic/synth_DV4L2_83.jpg,DV4L2
synthetic/synth_GO9VV_84.jpg,GO9VV
synthetic/synth_1QSQY_85.jpg,1QSQY
synthetic/synth_53ZMP_86.jpg,53ZMP
synthetic/synth_77OXS_87.jpg,77OXS
synthetic/synth_9N79L_88.jpg,9N79L
synthetic/synth_9YEVV_89.jpg,9YEVV
synthetic/synth_QQQVQ_90.jpg,QQQVQ
synthetic/synth_QZQ11_91.jpg,QZQ11
synthetic/synth_1MHZ1_92.jpg,1MHZ1
synthetic/synth_O22MI_93.jpg,O22MI
synthetic/synth_02711_94.jpg,02711
synthetic/synth_Q2QZY_95.jpg,Q2QZY
synthetic/synth_HF9JD_96.jpg,HF9JD
synthetic/synth_VWDVS_97.jpg,VWDVS
synthetic/synth_7FBUZ_98.jpg,7FBUZ
synthetic/synth_SWV9H_99.jpg,SWV9H
synthetic/synth_E4OH2_100.jpg,E4OH2
synthetic/synth_QUWCM_101.jpg,QUWCM
synthetic/synth_077M7_102.jpg,077M7
synthetic/synth_IKKHZ_103.jpg,IKKHZ
synthetic/synth_Y20MK_104.jpg,Y20MK
synthetic/synth_1JX59_105.jpg,1JX59
synthetic/synth_GA7CM_106.jpg,GA7CM
synthetic/synth_7O72G_107.jpg,7O72G
synthetic/synth_CCMQG_108.jpg,CCMQG
synthetic/synth_VQYIH_109.jpg,VQYIH
synthetic/synth_OZOJM_110.jpg,OZOJM
synthetic/synth_73WBU_111.jpg,73WBU
synthetic/synth_BO2RD_112.jpg,BO2RD
synthetic/synth_VODD7_113.jpg,VODD7
synthetic/synth_Q00RH_114.jpg,Q00RH
synthetic/synth_EQ6S2_115.jpg,EQ6S2
synthetic/synth_OQ2Q9_116.jpg,OQ2Q9
synthetic/synth_H6AO7_117.jpg,H6AO7
synthetic/synth_ZIZAK_118.jpg,ZIZAK
synthetic/synth_OQ2DV_119.jpg,OQ2DV
synthetic/synth_KEBOG_120.jpg,KEBOG
synthetic/synth_SMF2G_121.jpg,SMF2G
synthetic/synth_QG2HD_122.jpg,QG2HD
synthetic/synth_MSHAS_123.jpg,MSHAS
synthetic/synth_BO10D_124.jpg,BO10D
synthetic/synth_72OAQ_125.jpg,72OAQ
synthetic/synth_O4D9G_126.jpg,O4D9G
synthetic/synth_OZO7W_127.jpg,OZO7W
synthetic/synth_HSG9U_128.jpg,HSG9U
synthetic/synth_HH7UV_129.jpg,HH7UV
synthetic/synth_T47V3_130.jpg,T47V3
synthetic/synth_DT9YQ_131.jpg,DT9YQ
synthetic/synth_72OVC_132.jpg,72OVC
synthetic/synth_O9DZD_133.jpg,O9DZD
synthetic/synth_DQDYT_134.jpg,DQDYT
synthetic/synth_KCJSG_135.jpg,KCJSG
synthetic/synth_85EFG_136.jpg,85EFG
synthetic/synth_2ZOKD_137.jpg,2ZOKD
synthetic/synth_72I9C_138.jpg,72I9C
synthetic/synth_6HVDA_139.jpg,6HVDA
synthetic/synth_JC91D_140.jpg,JC91D
synthetic/synth_711HK_141.jpg,711HK
synthetic/synth_Z02DZ_142.jpg,Z02DZ
synthetic/synth_NUDQ6_143.jpg,NUDQ6
synthetic/synth_A2QQP_144.jpg,A2QQP
synthetic/synth_LWGOO_145.jpg,LWGOO
synthetic/synth_MCV5H_146.jpg,MCV5H
synthetic/synth_NKUAV_147.jpg,NKUAV
synthetic/synth_Z77ES_148.jpg,Z77ES
synthetic/synth_QZ7WH_149.jpg,QZ7WH
synthetic/synth_E7OW7_150.jpg,E7OW7
synthetic/synth_VZIH2_151.jpg,VZIH2
synthetic/synth_72QO1_152.jpg,72QO1
synthetic/synth_5UW0E_153.jpg,5UW0E
synthetic/synth_OZ71M_154.jpg,OZ71M
synthetic/synth_GXKS6_155.jpg,GXKS6
synthetic/synth_R1THO_156.jpg,R1THO
synthetic/synth_C2VEM_157.jpg,C2VEM
synthetic/synth_9ICDM_158.jpg,9ICDM
synthetic/synth_DGQEI_159.jpg,DGQEI
synthetic/synth_BGVE6_160.jpg,BGVE6
synthetic/synth_ID9OZ_161.jpg,ID9OZ
synthetic/synth_AAYD5_162.jpg,AAYD5
synthetic/synth_RVCT7_163.jpg,RVCT7
synthetic/synth_WOSAM_164.jpg,WOSAM
synthetic/synth_W15OV_165.jpg,W15OV
synthetic/synth_OQOVP_166.jpg,OQOVP
synthetic/synth_22O63_167.jpg,22O63
synthetic/synth_7OZV1_168.jpg,7OZV1
synthetic/synth_PD2MH_169.jpg,PD2MH
synthetic/synth_D2C5B_170.jpg,D2C5B
synthetic/synth_ZKUAP_171.jpg,ZKUAP
synthetic/synth_SWOWU_172.jpg,SWOWU
synthetic/synth_DG27G_173.jpg,DG27G
synthetic/synth_V5OU8_174.jpg,V5OU8
synthetic/synth_ZOOVG_175.jpg,ZOOVG
synthetic/synth_R7G4L_176.jpg,R7G4L
synthetic/synth_WZC7W_177.jpg,WZC7W
synthetic/synth_VS2BV_178.jpg,VS2BV
synthetic/synth_ZQ2SY_179.jpg,ZQ2SY
synthetic/synth_H3WMQ_180.jpg,H3WMQ
synthetic/synth_ZO2A7_181.jpg,ZO2A7
synthetic/synth_OZMZ7_182.jpg,OZMZ7
synthetic/synth_R21FM_183.jpg,R21FM
synthetic/synth_ZQZ2V_184.jpg,ZQZ2V
synthetic/synth_0QQ96_185.jpg,0QQ96
synthetic/synth_0QZFI_186.jpg,0QZFI
synthetic/synth_EVVAA_187.jpg,EVVAA
synthetic/synth_QWO3R_188.jpg,QWO3R
synthetic/synth_VETCO_189.jpg,VETCO
synthetic/synth_E1H3I_190.jpg,E1H3I
synthetic/synth_VOTLC_191.jpg,VOTLC
synthetic/synth_7OGBY_192.jpg,7OGBY
synthetic/synth_QOQ2U_193.jpg,QOQ2U
synthetic/synth_5ZKY9_194.jpg,5ZKY9
synthetic/synth_B4MS5_195.jpg,B4MS5
synthetic/synth_4VRCM_196.jpg,4VRCM
synthetic/synth_JHOGU_197.jpg,JHOGU
synthetic/synth_2OQDC_198.jpg,2OQDC
synthetic/synth_NG79C_199.jpg,NG79C
synthetic/synth_1OK2V_200.jpg,1OK2V
synthetic/synth_GZ52A_201.jpg,GZ52A
synthetic/synth_Z9W14_202.jpg,Z9W14
synthetic/synth_JC053_203.jpg,JC053
synthetic/synth_Q7OBE_204.jpg,Q7OBE
synthetic/synth_7W4B1_205.jpg,7W4B1
synthetic/synth_6RCER_206.jpg,6RCER
synthetic/synth_6TKCA_207.jpg,6TKCA
synthetic/synth_D1C9J_208.jpg,D1C9J
synthetic/synth_KO12R_209.jpg,KO12R
synthetic/synth_5HAX2_210.jpg,5HAX2
synthetic/synth_9MYG2_211.jpg,9MYG2
synthetic/synth_22ZHG_212.jpg,22ZHG
